@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
0.623541,-0.000000,0.00
0.590869,-0.000000,0.00
0.640657,-0.000000,0.00
0.594135,-0.000000,0.00
0.722316,-0.000000,0.00
0.682134,-0.000000,1.00
0.583918,-0.000000,1.00
0.634038,-0.000000,0.00
0.703317,-0.000000,0.00
0.595864,-0.000000,0.00
0.655793,-0.000000,0.00
0.654836,-0.000000,0.00
0.683165,-0.000000,0.00
0.638061,-0.000000,0.00
0.690096,-0.000000,0.00
0.596488,-0.000000,1.00
0.682734,-0.000000,0.00
0.696823,-0.000000,0.00
0.709856,-0.000000,1.00
0.694703,-0.000000,0.00
0.661703,-0.000000,1.00
0.664365,-0.000000,0.00
0.577547,-0.000000,0.00
0.716670,-0.000000,0.00
0.694557,-0.000000,0.00
0.601814,-0.000000,0.00
0.583355,-0.000000,1.00
0.653919,-0.000000,0.00
0.643298,-0.000000,0.00
0.633226,-0.000000,0.00
0.662055,-0.000000,1.00
0.708168,-0.000000,0.00
0.642851,-0.000000,0.00
0.626788,-0.000000,0.00
0.622975,-0.000000,0.00
0.579021,-0.000000,0.00
0.678554,-0.000000,0.00
0.593706,-0.000000,0.00
0.711438,-0.000000,0.00
0.712856,-0.000000,0.00
0.708599,-0.000000,0.00
0.621224,-0.000000,1.00
0.654512,-0.000000,0.00
0.607838,-0.000000,1.00
0.710327,-0.000000,0.00
0.628618,-0.000000,0.00
0.654836,-0.000000,0.00
0.674322,-0.000000,0.00
0.592321,-0.000000,0.00
0.685894,-0.000000,0.00
0.647545,-0.000000,0.00
0.630492,-0.000000,0.00
0.652638,-0.000000,0.00
0.608063,-0.000000,0.00
0.601749,-0.000000,0.00
0.681706,-0.000000,0.00
0.717784,-0.000000,1.00
0.630903,-0.000000,0.00
0.661033,-0.000000,0.00
0.692378,-0.000000,0.00
0.601454,-0.000000,1.00
0.707553,-0.000000,0.00
0.616830,-0.000000,1.00
0.662207,-0.000000,0.00
0.717205,-0.000000,0.00
0.694703,-0.000000,0.00
0.592462,-0.000000,0.00
0.613971,-0.000000,1.00
0.599946,-0.000000,0.00
0.607600,-0.000000,0.00
0.680548,-0.000000,0.00
0.646573,-0.000000,0.00
0.608626,-0.000000,0.00
0.709594,-0.000000,0.00
0.612002,-0.000000,1.00
0.578248,-0.000000,0.00
0.654802,-0.000000,0.00
0.682710,-0.000000,0.00
0.983088,-0.000000,0.00
0.894200,-0.000000,0.00
0.869375,-0.000000,1.00
0.911762,-0.000000,1.00
0.963323,-0.000000,0.00
0.879026,-0.000000,0.00
0.937423,-0.000000,0.00
0.942381,-0.000000,1.00
0.922387,-0.000000,1.00
0.925917,-0.000000,1.00
0.926468,-0.000000,1.00
0.931519,-0.000000,1.00
0.902798,-0.000000,0.00
0.952237,-0.000000,1.00
0.893319,-0.000000,1.00
0.895267,-0.000000,1.00
0.953134,-0.000000,1.00
0.934080,-0.000000,0.00
0.950542,-0.000000,0.00
0.911652,-0.000000,1.00
0.918222,-0.000000,0.00
0.974840,-0.000000,1.00
0.914149,-0.000000,0.00
0.950304,-0.000000,0.00
0.910013,-0.000000,0.00
0.871108,-0.000000,1.00
0.902422,-0.000000,0.00
0.873584,-0.000000,0.00
0.878969,-0.000000,0.00
0.860324,-0.000000,0.00
0.886068,-0.000000,0.00
0.971393,-0.000000,0.00
0.917496,-0.000000,1.00
0.945926,-0.000000,0.00
0.878119,-0.000000,1.00
0.873584,-0.000000,1.00
0.970683,-0.000000,0.00
0.932589,-0.000000,1.00
0.937423,-0.000000,1.00
0.900264,-0.000000,0.00
0.959533,-0.000000,1.00
0.874197,-0.000000,0.00
0.903717,-0.000000,1.00
0.927796,-0.000000,1.00
0.912115,-0.000000,0.00
0.870268,-0.000000,0.00
0.915827,-0.000000,1.00
0.880488,-0.000000,0.00
0.905157,-0.000000,0.00
0.883798,-0.000000,0.00
0.902479,-0.000000,1.00
0.945234,-0.000000,1.00
0.957430,-0.000000,1.00
0.987557,-0.000000,1.00
0.935939,-0.000000,0.00
0.902500,-0.000000,1.00
0.943137,-0.000000,0.00
0.973498,-0.000000,0.00
0.966551,-0.000000,1.00
0.954045,-0.000000,0.00
0.905708,-0.000000,1.00
0.933674,-0.000000,1.00
0.959802,-0.000000,0.00
0.871108,-0.000000,0.00
0.973373,-0.000000,0.00
0.906481,-0.000000,0.00
0.906564,-0.000000,0.00
0.545340,-0.000000,1.00
0.558907,-0.000000,0.00
0.580557,-0.000000,0.00
0.567202,-0.000000,0.00
0.542202,-0.000000,0.00
0.541043,-0.000000,0.00
0.568659,-0.000000,0.00
0.564723,-0.000000,0.00
0.549598,-0.000000,0.00
0.558771,-0.000000,0.00
0.997916,-0.000000,1.00
0.996533,-0.000000,1.00
0.998818,-0.000000,1.00
0.990241,-0.000000,0.00
0.737870,-0.000000,0.00
0.725196,-0.000000,0.00
0.776479,-0.000000,0.00
