MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
9/9/2022,ΒΕΛ1,Σεντ Τρούιντεν,Σταντάρ Λιέγης,1,1,24,32.1901,0.4442,0.2848,0.271,0,0,0,0.6696,0,0.559,0
9/9/2022,ΓΑΛ3,Σεντάν ,Αβράνς,1,1,162,5.4131,0.4128,0.291,0.2962,0,0,0,1.2587,0.5,1.6529,0
9/9/2022,ΔΑΝ2,Σοντερίσκε,Χβιντόβρε,0,1,50,-103.2216,0.4567,0.2672,0.2761,0,0,0,2.2914,-0.3,1.4286,0
9/9/2022,ΓΑΛ3,Σταντ Μπριοσέν,Λε Πουί Οβράν,1,1,162,43.483,0.4639,0.2855,0.2506,-1,0,0,0.9418,0.8,0.7947,0
9/9/2022,ΣΙΓΚ,Τάνζονγκ Πάγκαρ Γιουν.,Μπαλεστιέρ Κάλσα,0,1,215,41.0044,0.459,0.2265,0.3145,0,0,0,0.5838,0,1.3546,0
9/9/2022,ΠΟΛ2,Τίτσι 71,Όντρα Οπόλε,0,1,47,76.094,0.4796,0.2602,0.2602,-1,0,0,0.7915,0.3,0.8901,0
9/9/2022,ΙΡΛ1,Τρίτι Γιουνάιτεντ,Μπρέι Γουόντερερς,0,1,204,135.8141,0.4665,0.2645,0.2689,-2,0,0,1.112,0.9,0.4712,0
9/9/2022,ΟΛΛ1,Φόλενταμ,Γκόου Αχέντ Ιγκλς,1,1,36,42.6248,0.4068,0.247,0.3462,-1,0,0,0.5957,0.1,0.9479,0
9/9/2022,ΤΟΥ1,Αλάνιασπορ,Ανκαραγκούτσου,0,1,18,86.621,0.5454,0.246,0.2086,0,0,0,1.217,0.4,1.374,0
9/9/2022,ΓΕΡΛ,Άλεν,Στράελεν,0,1,17,93.151,0.5417,0.2466,0.2117,-1,0,0,1.149,1,1.1602,0
9/9/2022,ΟΛΛ2,Άλμερε Σίτι,Τελστάρ,1,1,83,77.2661,0.5769,0.2242,0.1989,-1,0,0,0.6931,0.5,0.6161,0
9/9/2022,ΜΕΞ2,Ατλάντε,Σιμαρόνες Ντε Σονόρα,0,1,11,110.8481,0.6007,0.2328,0.1665,-1,0,0,1.7787,0.4,0.4505,0
9/9/2022,ΓΑΛ3,Βιλεφράνς,Μαρτιγκ,0,1,162,25.8441,0.4851,0.2716,0.2433,0,0,0,0.5055,-1.1667,0.4975,0
9/9/2022,ΑΛΓ1,Ελ Μπαγιάντ,Κεντσέλα,0,1,98,-37.7667,0.5414,0.2806,0.178,1,0,0,0.8838,-0.9,0.2479,0
9/9/2022,ΑΡΓ1,Ιντεπεντιέντε,Αλντοσίβι,0,1,15,49.5123,0.6059,0.2496,0.1444,0,0,0,0.5782,0.1,0.7285,0
9/9/2022,ΤΣΧ2,Κάρβινα,Σπάρτα Πράγας Β',0,1,22,-22.0586,0.5328,0.2473,0.2199,-1,0,0,0.9295,0.7,0.7463,0
9/9/2022,ΙΣΠ2,Λας Πάλμας,Λεγκανές,0,1,42,18.1902,0.48,0.2939,0.2261,-1,0,0,0.9801,0.3,0.7438,0
9/9/2022,n/a,Μοτάγκα,Ταούρο,0,1,65,78.9023,0.538,0.2871,0.1749,0,0,0,1.3622,0.3,1.4689,0
9/9/2022,ΓΕΡΛ,Μπάμπελσμπεργκ,ΦΣΒ 63 Λουκενβάλντε,0,1,17,41.9351,0.625,0.2058,0.1692,0,0,0,1.4477,-0.7,0.6433,0
9/9/2022,ΟΛΛ2,Ντεν Χάαγκ,Αλκμάαρ Β',0,1,83,40.4091,0.6167,0.2081,0.1752,1,0,0,0.9075,0,1.3043,0
9/9/2022,ΙΡΛΠ,Ντέρι Σίτι,Μποέμιανς Δουβλίνου,0,1,84,62.401,0.6165,0.2196,0.1639,-1,0,0,1.4069,0.3,0.6306,0
9/9/2022,ΤΣΧ2,Οπάβα,Χρουντίμ,0,1,22,36.2568,0.51,0.2675,0.2225,-1,0,0,1.3237,0.7,0.4255,0
9/9/2022,ΓΕΡ3,Όσναμπρικ,RW Έσσεν,0,1,56,-103.8514,0.4943,0.2433,0.2624,0,0,0,0.6066,-0.3,0.5687,0
9/9/2022,ΑΡΓ1,Ούνιον Σάντα Φε,Σαρμιέντο,0,1,15,28.5721,0.5056,0.2708,0.2236,1,0,0,0.4816,-0.5,0.7801,0
9/9/2022,ΟΛΛ2,Ρόντα,Αϊντχόφεν Β,0,1,83,109.7811,0.5882,0.2206,0.1912,-1,0,0,0.8201,0.7,0.5759,0
9/9/2022,ΣΛΟ1,Ρουζομπερόκ,Ζίλινα,1,1,133,10.5573,0.5008,0.2496,0.2496,0,0,0,1.2161,0.1,1.6484,0
9/9/2022,ΓΕΡΛ,Στίνμπαχ 1921,Χόφενχαϊμ Β',1,1,17,105.9185,0.5103,0.2448,0.2448,-1,0,0,1.2814,0.5,0.2488,0
9/9/2022,ΜΕΞ2,Ταπάτιο,Κογιότς Τλαξάλα,0,1,11,64.2197,0.4869,0.2771,0.2361,-1,0,0,0.669,0.4,0.8772,0
9/9/2022,ΑΖΕΠ,Τουράν Τοβούζ,Καπάζ,0,1,57,128.7399,0.549,0.2543,0.1968,-1,0,0,0.4381,0.3,0.3586,0
9/9/2022,ΟΛΛ2,Τσβόλε,Βίλεμ,0,1,83,117.4227,0.4906,0.2587,0.2508,-1,0,0,3.0808,1.4,1.1111,0
9/9/2022,ΟΛΛ2,ΦΚ Αϊντχόφεν,Μάαστριχτ,0,1,83,188.5267,0.6396,0.2029,0.1575,-2,0,0,0.6931,0.2,0.5213,0
9/9/2022,ΑΥΣ2,Φλοριντσντόρφερ,Ραπίντ Βιέννης Β',0,1,80,194.0072,0.6205,0.2161,0.1634,-2,0,0,0.7381,0.3,0.332,0
9/9/2022,ΙΣΠ1,Χιρόνα,Ρεάλ Βαγιαδολίδ,0,1,3,-75.9176,0.4865,0.2812,0.2323,2,0,0,0.769,-0.7,0.9924,0
9/9/2022,ΓΕΡΛ,Χόμπουργκ-Σαάρ,Μπαροκστάντ Φούλντα- Λέχνερζ,1,1,17,22.1373,0.6521,0.2028,0.1451,1,0,0,1.9536,0.3,1.3187,0
9/9/2022,ΟΛΛ2,OSS,Άγιαξ Β',0,1,83,-0.2836,0.3176,0.2409,0.4415,-1,0,0,0.7764,-0.4,0.7432,0
9/9/2022,ΦΙΝ3,PPJ,Κάπα,1,1,254,-79.9415,0.269,0.2049,0.5261,1,0,0,3.375,-0.3,2.8169,0
