@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
1.000000,11.000000,0.000000,0.426900,0.294800,0.278200,0.000000,1.500000,1.500000,1.030700,0.000000,0.991700,0.000000,1.00
1.000000,13.000000,0.000000,0.426900,0.278200,0.294800,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,1.00
1.000000,13.000000,0.000000,0.376900,0.279800,0.343300,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,0.00
1.000000,1.000000,0.000000,0.375800,0.289600,0.334700,0.000000,1.500000,1.500000,0.945400,0.000000,0.991700,0.000000,0.00
1.000000,11.000000,0.000000,0.384800,295.000000,0.320200,0.000000,1.500000,1.500000,1.030700,0.000000,0.991700,0.000000,0.00
1.000000,14.000000,0.000000,0.591700,245.000000,0.163200,0.000000,1.500000,1.500000,0.972600,0.000000,0.991700,0.000000,0.00
1.000000,15.000000,0.000000,0.537200,0.287800,0.175100,0.000000,1.500000,1.500000,0.961900,0.000000,0.991700,0.000000,0.00
1.000000,16.000000,0.000000,0.483400,0.311500,0.205100,0.000000,1.500000,1.500000,0.988900,0.000000,0.991700,0.000000,0.00
1.000000,17.000000,0.000000,0.578400,0.236300,0.185300,0.000000,1.500000,1.500000,0.980800,0.000000,0.991700,0.000000,0.00
1.000000,13.000000,0.000000,0.645500,0.204300,0.150200,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,0.00
1.000000,18.000000,0.000000,0.498700,0.246500,0.254800,0.000000,1.500000,1.500000,0.929800,0.000000,0.991700,0.000000,0.00
1.000000,5.000000,0.000000,0.558900,0.225800,0.215300,0.000000,1.500000,1.500000,1.021600,0.000000,0.991700,0.000000,1.00
1.000000,15.000000,0.000000,0.513100,0.298500,0.188400,0.000000,1.500000,1.500000,0.961900,0.000000,0.991700,0.000000,0.00
1.000000,19.000000,0.000000,0.530100,0.260000,0.209900,0.000000,1.500000,1.500000,0.991800,0.000000,0.991700,0.000000,0.00
1.000000,1.000000,0.000000,0.518500,0.236700,0.244700,0.000000,1.500000,1.500000,0.945400,0.000000,0.991700,0.000000,0.00
1.000000,20.000000,0.000000,0.499300,0.267500,0.233200,0.000000,1.500000,1.500000,992.000000,0.000000,0.991700,0.000000,0.00
1.000000,8.000000,0.000000,0.557600,0.262300,0.180000,0.000000,1.500000,1.500000,1.003200,0.000000,0.991700,0.000000,0.00
1.000000,8.000000,0.000000,491.000000,0.310500,0.198500,0.000000,1.500000,1.500000,1.003200,0.000000,0.991700,0.000000,0.00
1.000000,21.000000,0.000000,0.619800,0.203800,0.176400,0.000000,1.500000,1.500000,1.023700,0.000000,0.991700,0.000000,0.00
1.000000,13.000000,0.000000,0.492600,267.000000,0.240400,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,1.00
1.000000,22.000000,0.000000,0.597200,0.225300,0.177400,0.000000,1.500000,1.500000,0.973700,0.000000,0.991700,0.000000,0.00
1.000000,5.000000,0.000000,0.607900,0.230700,0.161400,0.000000,1.500000,1.500000,1.021600,0.000000,0.991700,0.000000,0.00
1.000000,13.000000,0.000000,293.000000,0.243900,463.000000,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,0.00
1.000000,23.000000,0.000000,0.333800,0.300400,0.365900,0.000000,1.500000,1.500000,1.012700,0.000000,0.991700,0.000000,1.00
1.000000,15.000000,0.000000,0.325100,312.000000,0.362900,0.000000,1.500000,1.500000,0.961900,0.000000,0.991700,0.000000,0.00
1.000000,13.000000,0.000000,0.302200,0.269500,0.428300,0.000000,1.500000,1.500000,0.935300,0.000000,0.991700,0.000000,0.00
1.000000,24.000000,0.000000,0.746400,154.000000,0.099700,0.000000,1.500000,1.500000,971.000000,0.000000,0.991700,0.000000,0.00
1.000000,25.000000,0.000000,0.801600,0.126400,72.000000,0.000000,1.500000,1.500000,0.992700,0.000000,0.991700,0.000000,0.00
1.000000,26.000000,0.000000,0.734400,0.159900,0.105700,0.000000,1.500000,1.500000,0.974800,0.000000,0.991700,0.000000,0.00
1.000000,27.000000,0.000000,0.695500,0.195700,0.108900,0.000000,1.500000,1.500000,0.978500,0.000000,0.991700,0.000000,0.00
1.000000,28.000000,0.000000,0.819900,0.115800,0.064300,0.000000,1.500000,1.500000,0.993300,0.000000,0.991700,0.000000,0.00
1.000000,29.000000,0.000000,0.811200,0.130700,0.058100,0.000000,1.500000,1.500000,1.046500,0.000000,0.991700,0.000000,0.00
1.000000,30.000000,0.000000,0.676100,0.205300,0.118600,0.000000,1.500000,1.500000,0.962200,0.000000,0.991700,0.000000,0.00
1.000000,30.000000,0.000000,0.692300,0.184400,0.123300,0.000000,1.500000,1.500000,0.962200,0.000000,0.991700,0.000000,0.00
1.000000,2.000000,0.000000,0.966900,0.027800,0.005300,0.000000,1.500000,1.500000,989.000000,0.000000,0.991700,0.000000,0.00
